Zip,Population,County,State,WiredCount_2020,Fwcount_2020,BroadbandProviderCount,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan
29620,12934.00,Abbeville,South Carolina,6,0,6,11,5,3,7,3,2536,212.5,536.35,0.98,40
29628,2759.00,Abbeville,South Carolina,4,0,4,8,3,2,5,2,100,51.12,126.06,0.95,40
29638,2944.00,Abbeville,South Carolina,6,1,7,13,4,4,6,4,272,82.79,222.35,0.95,40
29639,1742.00,Abbeville,South Carolina,3,0,3,8,3,3,5,3,163,93.12,223.75,0.90,40
23302,155.00,Accomack,Virginia,2,0,2,7,1,1,3,1,,,,0.47,59.99
23345,NULL,Accomack,Virginia,,,0,,,,,,,,,,
23357,776.00,Accomack,Virginia,4,2,6,11,2,2,5,3,,,,0.49,59.99
23358,152.00,Accomack,Virginia,1,1,2,7,0,0,3,1,,,,0.00,100
23359,776.00,Accomack,Virginia,3,2,5,10,1,1,3,1,,,,0.78,59.99
23396,NULL,Accomack,Virginia,,,0,,,,,,,,,,
23399,NULL,Accomack,Virginia,,,0,,,,,,,,,,
23404,NULL,Accomack,Virginia,,,0,,,,,,,,,,
23409,84.00,Accomack,Virginia,1,1,2,7,1,1,3,1,,,,0.18,59.99
23416,356.00,Accomack,Virginia,4,1,5,10,2,2,4,2,,,,0.88,59.99
23426,225.00,Accomack,Virginia,2,1,3,8,1,1,4,1,,,,0.99,59.99
23442,1059.00,Accomack,Virginia,3,2,5,10,1,1,3,1,,,,0.86,59.99
23488,201.00,Accomack,Virginia,2,1,3,8,1,1,4,1,,,,0.54,59.99
23301,1831.00,Accomack,Virginia,4,2,6,11,2,2,5,3,826,19.57,46.58,0.67,59.99
23303,741.00,Accomack,Virginia,3,2,5,10,1,1,3,1,0,0,0,0.94,59.99
23306,1088.00,Accomack,Virginia,3,2,5,10,1,1,4,2,24,74.26,93.24,0.44,59.99
23308,2106.00,Accomack,Virginia,3,4,7,12,1,1,4,2,2,223.15,223.15,0.46,59.99
23336,2941.00,Accomack,Virginia,6,2,8,13,4,4,7,4,736,52.39,173.35,1.00,59.99
23337,377.00,Accomack,Virginia,3,0,3,8,1,1,3,1,10,273.97,426.99,0.94,59.99
23356,1246.00,Accomack,Virginia,3,2,5,10,1,1,4,1,8,25.87,84.4,1.00,59.99
23395,645.00,Accomack,Virginia,3,2,5,10,2,2,5,2,20,4.1,5.08,0.64,59.99
23410,2015.00,Accomack,Virginia,3,2,5,10,1,1,4,2,1616,2.75,5.17,0.63,59.99
23415,1893.00,Accomack,Virginia,5,3,8,13,3,3,6,3,32,72.55,373.27,0.81,59.99
23417,4047.00,Accomack,Virginia,4,3,7,12,2,2,6,3,8200,3.8,5.8,0.49,59.99
23418,863.00,Accomack,Virginia,3,2,5,10,1,1,3,2,634,7.71,22.95,0.77,59.99
23420,2376.00,Accomack,Virginia,3,3,6,11,1,1,4,2,28,1.75,4.41,0.40,59.99
23421,4255.00,Accomack,Virginia,3,2,5,10,1,1,4,2,402,26.24,74.01,0.46,59.99
42715,347.00,Adair,Kentucky,1,1,2,6,0,0,2,0,,,,0.00,
42742,NULL,Adair,Kentucky,,,0,,,,,,,,,,
42753,743.00,Adair,Kentucky,1,1,2,7,1,1,3,1,,,,0.93,
42528,1524.00,Adair,Kentucky,5,1,6,12,4,4,6,4,76,9.89,22.4,0.91,69.99
42728,15925.00,Adair,Kentucky,8,1,9,15,6,6,8,6,4565,24.6,67.02,0.81,70
42741,480.00,Adair,Kentucky,3,1,4,8,2,2,4,2,3,7.78,8.65,0.41,NULL
39120,32334.00,Adams,Mississippi,8,1,9,15,7,7,9,8,5532,46.67,91.99,0.97,35
45144,4272.00,Adams,Ohio,3,2,5,9,1,1,5,1,28,7.08,25.05,0.71,69.99
45616,1559.00,Adams,Ohio,1,0,1,5,0,0,2,0,45,19.89,56.38,0.00,NULL
45650,435.00,Adams,Ohio,1,0,1,5,0,0,2,0,151,15.73,39.47,0.00,NULL
45660,8297.00,Adams,Ohio,5,2,7,12,1,1,4,2,2232,115.4,222.19,0.43,69.99
45679,2812.00,Adams,Ohio,4,2,6,10,1,1,4,2,266,28.22,83.56,0.50,69.99
45693,8981.00,Adams,Ohio,2,1,3,7,1,1,3,1,2881,72.22,158.25,0.71,69.99
17326,NULL,Adams,Pennsylvania,,,0,,,,,,,,,,
17375,NULL,Adams,Pennsylvania,,,0,,,,,,,,,,
17301,4053.00,Adams,Pennsylvania,4,0,4,9,1,1,3,2,20,33.63,89.84,0.99,79.99
17304,3059.00,Adams,Pennsylvania,2,0,2,7,2,1,4,1,1240,45.52,95.73,0.82,79.99
17307,5899.00,Adams,Pennsylvania,2,0,2,7,2,1,4,1,1278,35.05,61.66,0.70,79.99
17316,8266.00,Adams,Pennsylvania,4,1,5,10,1,1,3,2,13132,91.33,194.22,0.96,79.99
17320,7823.00,Adams,Pennsylvania,3,1,4,9,2,1,5,1,714,57.33,140.06,0.99,79.99
17325,27619.00,Adams,Pennsylvania,4,1,5,10,4,3,7,4,32388,111.05,325.34,0.93,65
17340,10896.00,Adams,Pennsylvania,3,0,3,8,3,2,5,3,2276,67.82,122.23,0.98,65
17344,3656.00,Adams,Pennsylvania,4,0,4,9,4,2,6,3,4,6.96,6.96,1.00,65
17350,12886.00,Adams,Pennsylvania,4,0,4,9,3,2,5,3,1990,46.5,101.83,0.97,65
17353,3228.00,Adams,Pennsylvania,3,0,3,8,3,2,5,2,1302,53.85,155.21,0.92,79.99
17372,4101.00,Adams,Pennsylvania,4,1,5,10,2,1,4,1,1904,80.94,263.25,0.91,79.99
29808,NULL,Aiken,South Carolina,,,0,,,,,,,,,,
29105,1514.00,Aiken,South Carolina,2,1,3,8,1,1,3,2,47,4.71,10.23,0.09,NULL
29129,3164.00,Aiken,South Carolina,5,1,6,11,2,2,4,3,759,9.16,14.56,0.03,39.99
29137,2539.00,Aiken,South Carolina,4,1,5,10,1,1,3,2,22,4.34,6.1,0.03,39.99
29164,4690.00,Aiken,South Carolina,4,0,4,9,2,2,4,3,1147,5.69,9.68,0.35,39.99
29801,26778.00,Aiken,South Carolina,7,0,7,12,7,6,9,7,16850,197.4,615.83,0.92,35
29803,36843.00,Aiken,South Carolina,7,0,7,12,6,6,8,7,18531,110.49,345.12,0.86,35
29805,5864.00,Aiken,South Carolina,5,0,5,10,4,4,6,5,4,11.7,16.45,0.68,35
29809,2206.00,Aiken,South Carolina,6,0,6,11,4,4,6,5,2,1.39,1.39,0.21,35
29828,1003.00,Aiken,South Carolina,3,0,3,8,1,1,3,2,2,20.42,20.42,0.44,39.99
29829,8651.00,Aiken,South Carolina,6,0,6,11,4,4,6,5,1981,95.69,275.06,0.61,35
29831,4146.00,Aiken,South Carolina,5,0,5,10,2,2,4,3,0,0,0,0.51,39.99
29841,32494.00,Aiken,South Carolina,7,0,7,12,7,6,9,7,14763,84.48,180.43,1.00,35
29842,7675.00,Aiken,South Carolina,6,0,6,11,5,5,7,6,713,96.65,117.4,0.99,35
29851,7524.00,Aiken,South Carolina,7,0,7,12,5,4,7,5,1559,21.24,77.26,0.98,35
29856,3255.00,Aiken,South Carolina,3,0,3,8,2,0,4,1,114,57.77,302.12,0.55,55
27220,NULL,Alamance,North Carolina,,,0,,,,,,,,,,
27215,38807.00,Alamance,North Carolina,6,2,8,14,5,5,7,6,32861,132.97,309.5,1.00,35
27217,36954.00,Alamance,North Carolina,7,3,10,16,6,6,9,7,4367,53.29,115.21,0.98,35
27244,14173.00,Alamance,North Carolina,6,2,8,14,6,5,8,5,622,62.92,154.53,0.97,35
27253,29827.00,Alamance,North Carolina,6,2,8,14,6,5,8,6,6674,70.24,174.98,1.00,35
27258,6006.00,Alamance,North Carolina,7,1,8,14,5,3,7,4,790,93.08,293.53,1.00,35
27302,26412.00,Alamance,North Carolina,7,2,9,15,7,6,10,7,15594,55.8,115.29,0.98,35
27349,5511.00,Alamance,North Carolina,7,2,9,14,6,6,8,7,50,5.96,21.44,0.94,35
12007,60.00,Albany,New York,3,1,4,9,2,2,5,2,,,,1.00,54.9
12041,481.00,Albany,New York,1,1,2,7,1,1,4,1,,,,1.00,54.9
12046,817.00,Albany,New York,5,2,7,12,4,4,8,4,,,,0.98,54.9
12055,NULL,Albany,New York,,,0,,,,,,,,,,
12214,NULL,Albany,New York,,,0,,,,,,,,,,
12223,NULL,Albany,New York,,,0,,,,,,,,,,
12226,NULL,Albany,New York,,,0,,,,,,,,,,
12227,NULL,Albany,New York,,,0,,,,,,,,,,
12228,NULL,Albany,New York,,,0,,,,,,,,,,
12229,NULL,Albany,New York,,,0,,,,,,,,,,
12230,NULL,Albany,New York,,,0,,,,,,,,,,
12231,NULL,Albany,New York,,,0,,,,,,,,,,
